,mse_score,trial_id,return_period,seq_len,lr,momentum,optim_type,num_layers,hidden_size,num_fc_layers,activation_type
577,0.033336094403489856,011e8_00577,2,2,0.1,0.27667537085936955,2,1,32,1,2
1776,0.03333935033386162,011e8_01776,3,2,0.01,0.589102832939181,2,2,32,1,1
2014,0.033343587864006215,011e8_02014,3,2,0.1,0.7676492673701344,2,4,16,3,2
397,0.03334380620773954,011e8_00397,2,2,0.1,0.7339655400375886,1,4,32,3,2
1748,0.03334764120464888,011e8_01748,3,2,0.1,0.4512205583772071,2,1,32,3,3
435,0.03337528484405582,011e8_00435,2,2,0.1,0.27618862239494824,1,8,8,1,1
1846,0.033390734226039324,011e8_01846,3,2,0.001,0.6496698758099206,2,2,8,3,2
1774,0.03339073587386802,011e8_01774,3,2,0.01,0.8404960079829262,2,2,16,1,2
437,0.03340270390930502,011e8_00437,2,2,0.1,0.4397523173276101,1,8,8,1,3
436,0.03340355371754845,011e8_00436,2,2,0.1,0.6671805014646249,1,8,8,1,2
1850,0.03341679145333154,011e8_01850,3,2,0.001,0.6898280077936594,2,2,16,3,3
1839,0.033423108205977305,011e8_01839,3,2,0.1,0.7451478524050799,2,2,64,2,1
1699,0.033435087181327414,011e8_01699,3,2,0.1,0.32228623566790526,2,1,16,2,2
524,0.033452663136971865,011e8_00524,2,2,0.01,0.16567968231891542,1,8,128,3,3
107,0.03346280786244649,011e8_00107,2,2,0.01,0.3248626745658669,1,1,8,3,3
584,0.03347623747906086,011e8_00584,2,2,0.1,0.12067042117123741,2,1,128,1,3
2108,0.03349122084500961,011e8_02108,3,2,0.1,0.5006828327935763,2,8,32,2,3
15,0.033491292013905716,011e8_00015,2,2,0.01,0.3667061957172486,1,1,8,1,1
1706,0.03349641765845556,011e8_01706,3,2,0.1,0.6315595590964108,2,1,64,2,3
173,0.03349743911002595,011e8_00173,2,2,0.1,0.6618052790266092,1,2,32,1,3
1745,0.033502132964293455,011e8_01745,3,2,0.1,0.7846756904553674,2,1,16,3,3
226,0.03351003240047577,011e8_00226,2,2,0.001,0.8783669265482804,1,2,8,3,2
1868,0.033519554730684166,011e8_01868,3,2,0.01,0.25710092121343253,2,2,32,3,3
1817,0.03352136764501887,011e8_01817,3,2,0.01,0.42019940452636295,2,2,8,2,3
207,0.03352172608858272,011e8_00207,2,2,0.01,0.2274790721160077,1,2,128,2,1
1711,0.03352694986795299,011e8_01711,3,2,0.001,0.15599862818155677,2,1,8,3,2
79,0.03353463121416603,011e8_00079,2,2,0.1,0.2151420547756101,1,1,16,2,2
526,0.033538163617472465,011e8_00526,2,2,0.1,0.3147931314882313,1,8,8,3,2
2119,0.0335477441218532,011e8_02119,3,2,0.001,0.5437673724077466,2,8,16,3,2
341,0.033550060523520255,011e8_00341,2,2,0.01,0.37118987048481367,1,4,64,2,3
2099,0.03355029864440161,011e8_02099,3,2,0.01,0.23896428127564492,2,8,128,2,3
1682,0.033557957136016496,011e8_01682,3,2,0.01,0.8099624790577664,2,1,8,2,3
477,0.03356521810942945,011e8_00477,2,2,0.01,0.28563866731498155,1,8,128,2,1
1879,0.033569528206009794,011e8_01879,3,2,0.1,0.649776104834728,2,2,16,3,2
479,0.03356991973338725,011e8_00479,2,2,0.01,0.18569036348443924,1,8,128,2,3
