,mse_score,trial_id,momentum,optim_type,num_layers,hidden_size,num_fc_layers,activation_type
305,0.039066494366395164,278d2_00305,0.4244216791517793,2,4,16,3,3
324,0.03907466224674237,278d2_00324,0.3865838931889237,2,8,64,1,1
154,0.03907524334102399,278d2_00154,0.3766578964924199,1,8,16,2,2
292,0.039080553961679095,278d2_00292,0.45395743429699686,2,4,32,2,2
308,0.03908647917389716,278d2_00308,0.7302617666721272,2,4,32,3,3
271,0.03908967981511147,278d2_00271,0.37862984627654817,2,4,8,1,2
289,0.03909152995128476,278d2_00289,0.2581107500175557,2,4,16,2,2
307,0.03909453276136781,278d2_00307,0.1496917503069951,2,4,32,3,2
247,0.03909591515076997,278d2_00247,0.651241055307264,2,2,32,2,2
295,0.039097947763698786,278d2_00295,0.3641490436809496,2,4,64,2,2
352,0.039100111209276936,278d2_00352,0.6912028983699057,2,8,32,3,2
322,0.039116087435770046,278d2_00322,0.30363419899421407,2,8,32,1,2
258,0.039116813820437434,278d2_00258,0.48747140364326647,2,2,16,3,1
285,0.039118240569431424,278d2_00285,0.45064198085581875,2,4,8,2,1
304,0.039122610236868895,278d2_00304,0.1728375410207234,2,4,16,3,2
329,0.039123383504332844,278d2_00329,0.24836614326829656,2,8,128,1,3
334,0.039123855689018466,278d2_00334,0.8774067975578251,2,8,16,2,2
318,0.03912551973242536,278d2_00318,0.24906966803771236,2,8,16,1,1
319,0.039128791481844435,278d2_00319,0.22969122527913408,2,8,16,1,2
330,0.03913007179721206,278d2_00330,0.14998811460736974,2,8,8,2,1
320,0.03913138736298265,278d2_00320,0.12041056348818674,2,8,16,1,3
321,0.03913370751034193,278d2_00321,0.39979415817001285,2,8,32,1,1
350,0.03913673798810598,278d2_00350,0.32647607731217365,2,8,16,3,3
348,0.03913844048272718,278d2_00348,0.4574250038433513,2,8,16,3,1
333,0.03914178926802295,278d2_00333,0.45778836987077265,2,8,16,2,1
303,0.039141800114318434,278d2_00303,0.6957361368631916,2,4,16,3,1
275,0.03914950660048518,278d2_00275,0.12574349506021829,2,4,16,1,3
301,0.03915015953578274,278d2_00301,0.2925766197017013,2,4,8,3,2
279,0.03915067303906141,278d2_00279,0.5368753562332361,2,4,64,1,1
265,0.039151585992675104,278d2_00265,0.7827731613904292,2,2,64,3,2
331,0.03915549594395562,278d2_00331,0.18710938977313507,2,8,8,2,2
332,0.0391559073512024,278d2_00332,0.36012946375907895,2,8,8,2,3
345,0.039158302402602214,278d2_00345,0.370794066810486,2,8,8,3,1
323,0.03916914434187313,278d2_00323,0.7463663728881238,2,8,32,1,3
317,0.03917273466400924,278d2_00317,0.4525427178839758,2,8,8,1,3
220,0.0391735280303966,278d2_00220,0.8625037974063389,2,1,64,3,2
349,0.03917470195699138,278d2_00349,0.5607895462611049,2,8,16,3,2
335,0.03918272629942739,278d2_00335,0.6727212880372271,2,8,16,2,3
283,0.03918725060411066,278d2_00283,0.43247617439685204,2,4,128,1,2
290,0.03918752122077135,278d2_00290,0.8520838025517506,2,4,16,2,3
347,0.03920124991267708,278d2_00347,0.6438497508528143,2,8,8,3,3
346,0.03920723985011059,278d2_00346,0.6307180383023723,2,8,8,3,2
309,0.039208982855529255,278d2_00309,0.4068868733461892,2,4,64,3,1
316,0.03921118032691103,278d2_00316,0.6320763207227429,2,8,8,1,2
277,0.039214535461268886,278d2_00277,0.4095174720636511,2,4,32,1,2
217,0.039215329994833056,278d2_00217,0.7195480179363728,2,1,32,3,2
286,0.039218371875898404,278d2_00286,0.6812974873790394,2,4,8,2,2
302,0.03923237162411536,278d2_00302,0.364812297842422,2,4,8,3,3
340,0.03923465756949022,278d2_00340,0.30683209932840183,2,8,64,2,2
315,0.03923597992577438,278d2_00315,0.69999220116713,2,8,8,1,1
256,0.03926111652860036,278d2_00256,0.5600775496552934,2,2,8,3,2
214,0.03926469985516118,278d2_00214,0.3582789783779733,2,1,16,3,2
300,0.03926758337990918,278d2_00300,0.8383236335292311,2,4,8,3,1
313,0.03927775632252107,278d2_00313,0.8322483500329424,2,4,128,3,2
274,0.03928011180114261,278d2_00274,0.5160511090750467,2,4,16,1,2
358,0.03930095543658873,278d2_00358,0.7003097412033837,2,8,128,3,2
282,0.03931194657522802,278d2_00282,0.38888890287278444,2,4,128,1,1
259,0.03931209118275844,278d2_00259,0.42896392486753177,2,2,16,3,2
288,0.039314051069648116,278d2_00288,0.5714088096031864,2,4,16,2,1
287,0.03931455218645467,278d2_00287,0.1541039528790319,2,4,8,2,3
339,0.03931807786014611,278d2_00339,0.8439661426836725,2,8,64,2,1
245,0.03933123733009055,278d2_00245,0.6086203337598717,2,2,16,2,3
354,0.03934532474952813,278d2_00354,0.7360967930457764,2,8,64,3,1
215,0.039384342277276704,278d2_00215,0.8618760514210859,2,1,16,3,3
306,0.03939047527348791,278d2_00306,0.5032228765694636,2,4,32,3,1
241,0.03942746786977005,278d2_00241,0.7010349037432865,2,2,8,2,2
280,0.03943851965003428,278d2_00280,0.5134222953103612,2,4,64,1,2
255,0.03945360404389024,278d2_00255,0.3232121518798584,2,2,8,3,1
272,0.03947260344813708,278d2_00272,0.5178037901538868,2,4,8,1,3
278,0.039489784440297035,278d2_00278,0.2223876744414687,2,4,32,1,3
276,0.0395282106686707,278d2_00276,0.795296405999183,2,4,32,1,1
356,0.03964505278126334,278d2_00356,0.49899094831301616,2,8,64,3,3
151,0.03968153402165709,278d2_00151,0.25424802849602096,1,8,8,2,2
294,0.03969847787331632,278d2_00294,0.6961205319396395,2,4,64,2,1
268,0.03970373245709102,278d2_00268,0.8130449605294342,2,2,128,3,2
244,0.039757756689774396,278d2_00244,0.577127777109325,2,2,16,2,2
243,0.03978533919097047,278d2_00243,0.7506994495581835,2,2,16,2,1
